Timestamp start,Timestamp end,Observation valids Spain (GW)
08/07/2015 07:45,08/07/2015 07:45,19.91
08/07/2015 08:00,08/07/2015 08:00,19.91
08/07/2015 08:15,08/07/2015 08:15,19.91
08/07/2015 08:30,08/07/2015 08:30,19.91
08/07/2015 08:45,08/07/2015 08:45,19.06
08/07/2015 09:00,08/07/2015 09:00,19.06
08/07/2015 09:15,08/07/2015 09:15,19.06
08/07/2015 09:30,08/07/2015 09:30,19.06
08/07/2015 09:45,08/07/2015 09:45,19.08
08/07/2015 10:00,08/07/2015 10:00,19.08
08/07/2015 10:15,08/07/2015 10:15,19.08
08/07/2015 10:30,08/07/2015 10:30,19.08
08/07/2015 10:45,08/07/2015 10:45,18.72
08/07/2015 11:00,08/07/2015 11:00,18.72
08/07/2015 11:15,08/07/2015 11:15,18.72
08/07/2015 11:30,08/07/2015 11:30,18.72
08/07/2015 11:45,08/07/2015 11:45,19.24
08/07/2015 12:00,08/07/2015 12:00,19.24
08/07/2015 12:15,08/07/2015 12:15,19.24
08/07/2015 12:30,08/07/2015 12:30,19.24
08/07/2015 12:45,08/07/2015 12:45,18.99
08/07/2015 13:00,08/07/2015 13:00,18.99
08/07/2015 13:15,08/07/2015 13:15,18.99
08/07/2015 13:30,08/07/2015 13:30,18.99
08/07/2015 13:45,08/07/2015 13:45,19.23
08/07/2015 14:00,08/07/2015 14:00,19.23
08/07/2015 14:15,08/07/2015 14:15,19.23
08/07/2015 14:30,08/07/2015 14:30,19.23
08/07/2015 14:45,08/07/2015 14:45,21.05
08/07/2015 15:00,08/07/2015 15:00,21.05
08/07/2015 15:15,08/07/2015 15:15,21.05
08/07/2015 15:30,08/07/2015 15:30,21.05
08/07/2015 15:45,08/07/2015 15:45,22.39
08/07/2015 16:00,08/07/2015 16:00,22.39
08/07/2015 16:15,08/07/2015 16:15,22.39
08/07/2015 16:30,08/07/2015 16:30,22.39
08/07/2015 16:45,08/07/2015 16:45,23.33
08/07/2015 17:00,08/07/2015 17:00,23.33
08/07/2015 17:15,08/07/2015 17:15,23.33
08/07/2015 17:30,08/07/2015 17:30,23.33
08/07/2015 17:45,08/07/2015 17:45,24.19
08/07/2015 18:00,08/07/2015 18:00,24.19
08/07/2015 18:15,08/07/2015 18:15,24.19
08/07/2015 18:30,08/07/2015 18:30,24.19
08/07/2015 18:45,08/07/2015 18:45,24.30
08/07/2015 19:00,08/07/2015 19:00,24.30
08/07/2015 19:15,08/07/2015 19:15,24.30
08/07/2015 19:30,08/07/2015 19:30,24.30
08/07/2015 19:45,08/07/2015 19:45,23.07
08/07/2015 20:00,08/07/2015 20:00,23.07
08/07/2015 20:15,08/07/2015 20:15,23.07
08/07/2015 20:30,08/07/2015 20:30,23.07
08/07/2015 20:45,08/07/2015 20:45,22.92
08/07/2015 21:00,08/07/2015 21:00,22.92
08/07/2015 21:15,08/07/2015 21:15,22.92
08/07/2015 21:30,08/07/2015 21:30,22.92
08/07/2015 21:45,08/07/2015 21:45,23.47
08/07/2015 22:00,08/07/2015 22:00,23.47
08/07/2015 22:15,08/07/2015 22:15,23.47
08/07/2015 22:30,08/07/2015 22:30,23.47
08/07/2015 22:45,08/07/2015 22:45,26.09
08/07/2015 23:00,08/07/2015 23:00,26.09
08/07/2015 23:15,08/07/2015 23:15,26.09
08/07/2015 23:30,08/07/2015 23:30,26.09
08/07/2015 23:45,08/07/2015 23:45,27.45
09/07/2015 00:00,09/07/2015 00:00,27.45
09/07/2015 00:15,09/07/2015 00:15,27.45
09/07/2015 00:30,09/07/2015 00:30,27.45
09/07/2015 00:45,09/07/2015 00:45,27.82
09/07/2015 01:00,09/07/2015 01:00,27.82
09/07/2015 01:15,09/07/2015 01:15,27.82
09/07/2015 01:30,09/07/2015 01:30,27.82
09/07/2015 01:45,09/07/2015 01:45,28.37
09/07/2015 02:00,09/07/2015 02:00,28.37
09/07/2015 02:15,09/07/2015 02:15,28.37
09/07/2015 02:30,09/07/2015 02:30,28.37
09/07/2015 02:45,09/07/2015 02:45,27.35
09/07/2015 03:00,09/07/2015 03:00,27.35
09/07/2015 03:15,09/07/2015 03:15,27.35
09/07/2015 03:30,09/07/2015 03:30,27.35
